Sequence number	Sequence name	Sequence	Python code	Obfuscated Python code
A000006	Integer part of square root of n-th prime.	1,1,2,2,3,3,4,4,4,5,5,6,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18	"
from sympy import sieve
A000006 = lambda n: int(sieve[n]**.5)
print([A000006(n) for n in range(1,100+1)])

"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"
A000578	The cubes: a(n) = n^3.	0,1,8,27,64,125,216,343,512,729,1000,1331,1728,2197,2744,3375,4096,4913,5832,6859,8000,9261,10648,12167,13824,15625,17576,19683,21952,24389,27000,29791,32768,35937,39304,42875,46656,50653,54872,59319,64000	"
A000578_list, m = [], [6, -6, 1, 0]
for _ in range(10**2):
    A000578_list.append(m[-1])
    for i in range(3):
        m[i+1] += m[i] 
"	"(A000578_list, m) = ([], [6, -6, 1, 0])
for _ in range(10 ** 2):
    A000578_list.append(m[-1])
    for i in range(3):
        m[i + 1] += m[i]"	"(A000578_list, m) = ([], [6, -6, 1, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        A000578_list.append(m[-1])
        sequence_iterator = iter(range(3))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
    except StopIteration:
        break"	"(A000578_list, m) = ([], [6, -6, 1, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        A000578_list.append(m[-1])
        sequence_iterator = iter(range(3))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
    except StopIteration:
        break"	"(A000578_list, m) = ([], [6, -6, 1, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        A000578_list.append(m[-1])
        sequence_iterator = iter(range(3))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
    except StopIteration:
        break"	"(A000578_list, m) = ([], [6, -6, 1, 0])
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        A000578_list.append(m[-1])
        sequence_iterator = iter(range(3))
        while True:
            try:
                i = next(sequence_iterator)
                m[i + 1] += m[i]
            except StopIteration:
                break
    except StopIteration:
        break"
A000593	Sum of odd divisors of n.	1,1,4,1,6,4,8,1,13,6,12,4,14,8,24,1,18,13,20,6,32,12,24,4,31,14,40,8,30,24,32,1,48,18,48,13,38,20,56,6,42,32,44,12,78,24,48,4,57,31,72,14,54,40,72,8,80,30,60,24,62,32,104,1,84,48,68,18,96,48,72,13,74,38,124	"
from math import prod
from sympy import factorint
def A000593(n): return prod((p**(e+1)-1)//(p-1) for p, e in factorint(n).items() if p > 2) 
"	"from math import prod
from sympy import factorint

def A000593(n):
    return prod(((p ** (e + 1) - 1) // (p - 1) for (p, e) in factorint(n).items() if p > 2))"	"from math import prod
from sympy import factorint

def A000593(n):
    return prod(((p ** (e + 1) - 1) // (p - 1) for (p, e) in factorint(n).items() if p > 2))"	"from math import prod
from sympy import factorint

def A000593(n):
    return prod(((p ** (e + 1) - 1) // (p - 1) for (p, e) in factorint(n).items() if p > 2))"	"from math import prod
from sympy import factorint

def A000593(n):
    return prod(((p ** (e + 1) - 1) // (p - 1) for (p, e) in factorint(n).items() if p > 2))"	"from math import prod
from sympy import factorint

def A000593(n):
    return prod(((p ** (e + 1) - 1) // (p - 1) for (p, e) in factorint(n).items() if p > 2))"
A000720	pi(n), the number of primes <= n. Sometimes called PrimePi(n) to distinguish it from the number 3.14159...	0,1,2,2,3,3,4,4,4,4,5,5,6,6,6,6,7,7,8,8,8,8,9,9,9,9,9,9,10,10,11,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,18,18,18,18,18,18,19,19,19,19,20,20,21,21,21,21,21,21	"
from sympy import primepi
for n in range(1,100): print(primepi(n), end=', ') 
"	"from sympy import primepi
for n in range(1, 100):
    print(primepi(n), end=', ')"	"from sympy import primepi
sequence_iterator = iter(range(1, 100))
while True:
    try:
        n = next(sequence_iterator)
        print(primepi(n), end=', ')
    except StopIteration:
        break"	"from sympy import primepi
sequence_iterator = iter(range(1, 100))
while True:
    try:
        n = next(sequence_iterator)
        print(primepi(n), end=', ')
    except StopIteration:
        break"	"from sympy import primepi
sequence_iterator = iter(range(1, 100))
while True:
    try:
        n = next(sequence_iterator)
        print(primepi(n), end=', ')
    except StopIteration:
        break"	"from sympy import primepi
sequence_iterator = iter(range(1, 100))
while True:
    try:
        n = next(sequence_iterator)
        print(primepi(n), end=', ')
    except StopIteration:
        break"
A001023	Powers of 14.	1,14,196,2744,38416,537824,7529536,105413504,1475789056,20661046784,289254654976,4049565169664,56693912375296,793714773254144,11112006825558016,155568095557812224,2177953337809371136,30491346729331195904,426878854210636742656,5976303958948914397184,83668255425284801560576	" print([14**n for n in range(21)]) 
"	print([14 ** n for n in range(21)])	print([14 ** n for n in range(21)])	print([14 ** n for n in range(21)])	print([14 ** n for n in range(21)])	print([14 ** n for n in range(21)])
A001025	Powers of 16: a(n) = 16^n.	1,16,256,4096,65536,1048576,16777216,268435456,4294967296,68719476736,1099511627776,17592186044416,281474976710656,4503599627370496,72057594037927936,1152921504606846976,18446744073709551616,295147905179352825856,4722366482869645213696,75557863725914323419136,1208925819614629174706176	" print([16**n for n in range(20)]) 
"	print([16 ** n for n in range(20)])	print([16 ** n for n in range(20)])	print([16 ** n for n in range(20)])	print([16 ** n for n in range(20)])	print([16 ** n for n in range(20)])
A001128	Reverse digits of previous term and multiply by previous term.	2,4,16,976,662704,269896807264,124883600543123110859968,108643488775144622666209173128243503963147630528	" def a(n): return 2 if n<2 else a(n - 1) * int(str(a(n - 1))[::-1]) 
"	"def a(n):
    return 2 if n < 2 else a(n - 1) * int(str(a(n - 1))[::-1])"	"def a(n):
    return 2 if n < 2 else a(n - 1) * int(str(a(n - 1))[::-1])"	"def a(n):
    return 2 if n < 2 else a(n - 1) * int(str(a(n - 1))[::-1])"	"def a(n):
    return 2 if n < 2 else a(n - 1) * int(str(a(n - 1))[::-1])"	"def a(n):
    return 2 if n < 2 else a(n - 1) * int(str(a(n - 1))[::-1])"
A001129	Iccanobif numbers: reverse digits of two previous terms and add.	0,1,1,2,3,5,8,13,39,124,514,836,1053,4139,12815,61135,104937,792517,1454698,9679838,17354310,9735140,1760750,986050,621360,113815,581437,1252496,7676706,13019288,94367798,178067380,173537220,106496242,265429972,522619163	"
A001129_list, r1, r2 = [0,1], 1, 0
for _ in range(10**2):
    l, r2 = r1+r2, r1
    r1 = int(str(l)[::-1])
    A001129_list.append(l) 
"	"(A001129_list, r1, r2) = ([0, 1], 1, 0)
for _ in range(10 ** 2):
    (l, r2) = (r1 + r2, r1)
    r1 = int(str(l)[::-1])
    A001129_list.append(l)"	"(A001129_list, r1, r2) = ([0, 1], 1, 0)
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        (l, r2) = (r1 + r2, r1)
        r1 = int(str(l)[::-1])
        A001129_list.append(l)
    except StopIteration:
        break"	"(A001129_list, r1, r2) = ([0, 1], 1, 0)
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        (l, r2) = (r1 + r2, r1)
        r1 = int(str(l)[::-1])
        A001129_list.append(l)
    except StopIteration:
        break"	"(A001129_list, r1, r2) = ([0, 1], 1, 0)
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        (l, r2) = (r1 + r2, r1)
        r1 = int(str(l)[::-1])
        A001129_list.append(l)
    except StopIteration:
        break"	"(A001129_list, r1, r2) = ([0, 1], 1, 0)
sequence_iterator = iter(range(10 ** 2))
while True:
    try:
        _ = next(sequence_iterator)
        (l, r2) = (r1 + r2, r1)
        r1 = int(str(l)[::-1])
        A001129_list.append(l)
    except StopIteration:
        break"
A001157	sigma_2(n): sum of squares of divisors of n.	1,5,10,21,26,50,50,85,91,130,122,210,170,250,260,341,290,455,362,546,500,610,530,850,651,850,820,1050,842,1300,962,1365,1220,1450,1300,1911,1370,1810,1700,2210,1682,2500,1850,2562,2366,2650,2210,3410,2451,3255	"
from sympy import divisor_sigma
def a(n): return divisor_sigma(n, 2)
print([a(n) for n in range(1, 51)]) 
"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 2)
print([a(n) for n in range(1, 51)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 2)
print([a(n) for n in range(1, 51)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 2)
print([a(n) for n in range(1, 51)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 2)
print([a(n) for n in range(1, 51)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 2)
print([a(n) for n in range(1, 51)])"
A001158	sigma_3(n): sum of cubes of divisors of n.	1,9,28,73,126,252,344,585,757,1134,1332,2044,2198,3096,3528,4681,4914,6813,6860,9198,9632,11988,12168,16380,15751,19782,20440,25112,24390,31752,29792,37449,37296,44226,43344,55261,50654,61740,61544,73710,68922,86688	"
from sympy import divisor_sigma
def a(n): return divisor_sigma(n, 3)
print([a(n) for n in range(1, 43)]) 
"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 3)
print([a(n) for n in range(1, 43)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 3)
print([a(n) for n in range(1, 43)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 3)
print([a(n) for n in range(1, 43)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 3)
print([a(n) for n in range(1, 43)])"	"from sympy import divisor_sigma

def a(n):
    return divisor_sigma(n, 3)
print([a(n) for n in range(1, 43)])"
A001221	Number of distinct primes dividing n (also called omega(n)).	0,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,3,1,1,2,2,2,2,1,2,2,2,1,3,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,3,1,2,2,1,2,3,1,2,2,3,1,2,1,2,2,2,2,3,1,2,1,2,1,3,2,2,2,2,1,3,2,2,2,2,2,2,1,2,2,2,1,3,1,2,3,2,1,2,1,3,2	"
from sympy.ntheory import primefactors
print([len(primefactors(n)) for n in range(1, 1001)])  
"	"from sympy.ntheory import primefactors
print([len(primefactors(n)) for n in range(1, 1001)])"	"from sympy.ntheory import primefactors
print([len(primefactors(n)) for n in range(1, 1001)])"	"from sympy.ntheory import primefactors
print([len(primefactors(n)) for n in range(1, 1001)])"	"from sympy.ntheory import primefactors
print([len(primefactors(n)) for n in range(1, 1001)])"	"from sympy.ntheory import primefactors
print([len(primefactors(n)) for n in range(1, 1001)])"
A001370	Sum of digits of 2^n.	1,2,4,8,7,5,10,11,13,8,7,14,19,20,22,26,25,14,19,29,31,26,25,41,37,29,40,35,43,41,37,47,58,62,61,59,64,56,67,71,61,50,46,56,58,62,70,68,73,65,76,80,79,77,82,92,85,80,70,77	" [sum(map(int, str(2**n))) for n in range(56)] 
"	[sum([int(list_element) for list_element in str(2 ** n)]) for n in range(56)]	[sum([int(list_element) for list_element in str(2 ** n)]) for n in range(56)]	[sum([int(list_element) for list_element in str(2 ** n)]) for n in range(56)]	[sum([int(list_element) for list_element in str(2 ** n)]) for n in range(56)]	list((sum([int(list_element) for list_element in str(2 ** n)]) for n in range(56)))
A001591	Pentanacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) + a(n-4) + a(n-5), a(0)=a(1)=a(2)=a(3)=0, a(4)=1.	0,0,0,0,1,1,2,4,8,16,31,61,120,236,464,912,1793,3525,6930,13624,26784,52656,103519,203513,400096,786568,1546352,3040048,5976577,11749641,23099186,45411804,89277256,175514464,345052351,678355061,1333610936,2621810068	"
def pentanacci():
    a, b, c, d, e = 0, 0, 0, 0, 1
    while True:
        yield a
        a, b, c, d, e = b, c, d, e, a + b + c + d + e
f = pentanacci()
print([next(f) for _ in range(100)]) 
"	"def pentanacci():
    (a, b, c, d, e) = (0, 0, 0, 0, 1)
    while True:
        yield a
        (a, b, c, d, e) = (b, c, d, e, a + b + c + d + e)
f = pentanacci()
print([next(f) for _ in range(100)])"	"def pentanacci():
    (a, b, c, d, e) = (0, 0, 0, 0, 1)
    while True:
        yield a
        (a, b, c, d, e) = (b, c, d, e, a + b + c + d + e)
f = pentanacci()
print([next(f) for _ in range(100)])"	"def pentanacci():
    (a, b, c, d, e) = (0, 0, 0, 0, 1)
    while True:
        yield a
        (a, b, c, d, e) = (b, c, d, e, a + b + c + d + e)
f = pentanacci()
print([next(f) for _ in range(100)])"	"def pentanacci():
    (a, b, c, d, e) = (0, 0, 0, 0, 1)
    while True:
        yield a
        (a, b, c, d, e) = (b, c, d, e, a + b + c + d + e)
f = pentanacci()
print([next(f) for _ in range(100)])"	"def pentanacci():
    (a, b, c, d, e) = (0, 0, 0, 0, 1)
    while True:
        yield a
        (a, b, c, d, e) = (b, c, d, e, a + b + c + d + e)
f = pentanacci()
print([next(f) for _ in range(100)])"
A001597	Perfect powers: m^k where m > 0 and k >= 2.	1,4,8,9,16,25,27,32,36,49,64,81,100,121,125,128,144,169,196,216,225,243,256,289,324,343,361,400,441,484,512,529,576,625,676,729,784,841,900,961,1000,1024,1089,1156,1225,1296,1331,1369,1444,1521,1600,1681,1728,1764	"
from sympy import perfect_power
def ok(n): return n==1 or perfect_power(n)
print([m for m in range(1, 1765) if ok(m)]) 
"	"from sympy import perfect_power

def ok(n):
    return n == 1 or perfect_power(n)
print([m for m in range(1, 1765) if ok(m)])"	"from sympy import perfect_power

def ok(n):
    return n == 1 or perfect_power(n)
print([m for m in range(1, 1765) if ok(m)])"	"from sympy import perfect_power

def ok(n):
    return n == 1 or perfect_power(n)
print([m for m in range(1, 1765) if ok(m)])"	"from sympy import perfect_power

def ok(n):
    return n == 1 or perfect_power(n)
print([m for m in range(1, 1765) if ok(m)])"	"from sympy import perfect_power

def ok(n):
    return n == 1 or perfect_power(n)
print([m for m in range(1, 1765) if ok(m)])"
A001622	Decimal expansion of golden ratio phi (or tau) = (1 + sqrt(5))/2.	1,6,1,8,0,3,3,9,8,8,7,4,9,8,9,4,8,4,8,2,0,4,5,8,6,8,3,4,3,6,5,6,3,8,1,1,7,7,2,0,3,0,9,1,7,9,8,0,5,7,6,2,8,6,2,1,3,5,4,4,8,6,2,2,7,0,5,2,6,0,4,6,2,8,1,8,9,0,2,4,4,9,7,0,7,2,0,7,2,0,4,1,8,9,3,9,1,1,3,7,4,8,4,7,5	"
from sympy import S
def alst(n): 
  return list(map(int, str(S.GoldenRatio.n(n+1)).replace(""."", """")))[:-1]
print(alst(105)) 
"	"from sympy import S

def alst(n):
    return list([int(list_element) for list_element in str(S.GoldenRatio.n(n + 1)).replace('.', '')])[:-1]
print(alst(105))"	"from sympy import S

def alst(n):
    return list([int(list_element) for list_element in str(S.GoldenRatio.n(n + 1)).replace('.', '')])[:-1]
print(alst(105))"	"from sympy import S

def alst(n):
    return list([int(list_element) for list_element in str(S.GoldenRatio.n(n + 1)).replace('.', '')])[:-1]
print(alst(105))"	"from sympy import S

def alst(n):
    return list([int(list_element) for list_element in str(S.GoldenRatio.n(n + 1)).replace('.', '')])[:-1]
print(alst(105))"	"from sympy import S

def alst(n):
    return list(list((int(list_element) for list_element in str(S.GoldenRatio.n(n + 1)).replace('.', ''))))[:-1]
print(alst(105))"
A001651	Numbers not divisible by 3.	1,2,4,5,7,8,10,11,13,14,16,17,19,20,22,23,25,26,28,29,31,32,34,35,37,38,40,41,43,44,46,47,49,50,52,53,55,56,58,59,61,62,64,65,67,68,70,71,73,74,76,77,79,80,82,83,85,86,88,89,91,92,94,95,97,98,100,101,103,104	"
print([k for k in range(1, 105) if k%3]) 
"	print([k for k in range(1, 105) if k % 3])	print([k for k in range(1, 105) if k % 3])	print([k for k in range(1, 105) if k % 3])	print([k for k in range(1, 105) if k % 3])	print([k for k in range(1, 105) if k % 3])
A001654	Golden rectangle numbers: F(n)*F(n+1), where F(n) = A000045(n) (Fibonacci numbers).	0,1,2,6,15,40,104,273,714,1870,4895,12816,33552,87841,229970,602070,1576239,4126648,10803704,28284465,74049690,193864606,507544127,1328767776,3478759200,9107509825,23843770274,62423800998,163427632719	"
from sympy import fibonacci as F
def a(n): return F(n)*F(n + 1)
[a(n) for n in range(101)] 
"	"from sympy import fibonacci as F

def a(n):
    return F(n) * F(n + 1)
[a(n) for n in range(101)]"	"from sympy import fibonacci as F

def a(n):
    return F(n) * F(n + 1)
[a(n) for n in range(101)]"	"from sympy import fibonacci as F

def a(n):
    return F(n) * F(n + 1)
[a(n) for n in range(101)]"	"from sympy import fibonacci as F

def a(n):
    return F(n) * F(n + 1)
[a(n) for n in range(101)]"	"from sympy import fibonacci as F

def a(n):
    return F(n) * F(n + 1)
list((a(n) for n in range(101)))"
A001690	Non-Fibonacci numbers.	4,6,7,9,10,11,12,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78	"
def f(n):
    a=1
    b=2
    c=3
    while n>0:
        a=b
        b=c
        c=a+b
        n-=(c-b-1)
    n+=(c-b-1)
    return (b+n)
for i in range(1,1001):
    print(str(i)+"" ""+str(f(i))) 
"	"def f(n):
    a = 1
    b = 2
    c = 3
    while n > 0:
        a = b
        b = c
        c = a + b
        n -= c - b - 1
    n += c - b - 1
    return b + n
for i in range(1, 1001):
    print(str(i) + ' ' + str(f(i)))"	"def f(n):
    a = 1
    b = 2
    c = 3
    while n > 0:
        a = b
        b = c
        c = a + b
        n -= c - b - 1
    n += c - b - 1
    return b + n
sequence_iterator = iter(range(1, 1001))
while True:
    try:
        i = next(sequence_iterator)
        print(str(i) + ' ' + str(f(i)))
    except StopIteration:
        break"	"def f(n):
    a = 1
    b = 2
    c = 3
    while n > 0:
        a = b
        b = c
        c = a + b
        n -= c - b - 1
    n += c - b - 1
    return b + n
sequence_iterator = iter(range(1, 1001))
while True:
    try:
        i = next(sequence_iterator)
        print(str(i) + ' ' + str(f(i)))
    except StopIteration:
        break"	"def f(n):
    a = 1
    b = 2
    c = 3
    while n > 0:
        a = b
        b = c
        c = a + b
        n -= c - b - 1
    n += c - b - 1
    return b + n
sequence_iterator = iter(range(1, 1001))
while True:
    try:
        i = next(sequence_iterator)
        print(str(i) + ' ' + str(f(i)))
    except StopIteration:
        break"	"def f(n):
    a = 1
    b = 2
    c = 3
    while n > 0:
        a = b
        b = c
        c = a + b
        n -= c - b - 1
    n += c - b - 1
    return b + n
sequence_iterator = iter(range(1, 1001))
while True:
    try:
        i = next(sequence_iterator)
        print(str(i) + ' ' + str(f(i)))
    except StopIteration:
        break"
A001703	Decimal concatenation of n, n+1, and n+2.	12,123,234,345,456,567,678,789,8910,91011,101112,111213,121314,131415,141516,151617,161718,171819,181920,192021,202122,212223,222324,232425,242526,252627,262728,272829,282930,293031,303132,313233,323334,333435,343536,353637,363738	" for n in range(100): print(int(str(n)+str(n+1)+str(n+2))) 
"	"for n in range(100):
    print(int(str(n) + str(n + 1) + str(n + 2)))"	"sequence_iterator = iter(range(100))
while True:
    try:
        n = next(sequence_iterator)
        print(int(str(n) + str(n + 1) + str(n + 2)))
    except StopIteration:
        break"	"sequence_iterator = iter(range(100))
while True:
    try:
        n = next(sequence_iterator)
        print(int(str(n) + str(n + 1) + str(n + 2)))
    except StopIteration:
        break"	"sequence_iterator = iter(range(100))
while True:
    try:
        n = next(sequence_iterator)
        print(int(str(n) + str(n + 1) + str(n + 2)))
    except StopIteration:
        break"	"sequence_iterator = iter(range(100))
while True:
    try:
        n = next(sequence_iterator)
        print(int(str(n) + str(n + 1) + str(n + 2)))
    except StopIteration:
        break"
A001704	a(n) = n concatenated with n + 1.	12,23,34,45,56,67,78,89,910,1011,1112,1213,1314,1415,1516,1617,1718,1819,1920,2021,2122,2223,2324,2425,2526,2627,2728,2829,2930,3031,3132,3233,3334,3435,3536,3637,3738,3839,3940,4041,4142,4243,4344,4445,4546	" for n in range(1,100): print(str(n)+str(n+1)) 
"	"for n in range(1, 100):
    print(str(n) + str(n + 1))"	"sequence_iterator = iter(range(1, 100))
while True:
    try:
        n = next(sequence_iterator)
        print(str(n) + str(n + 1))
    except StopIteration:
        break"	"sequence_iterator = iter(range(1, 100))
while True:
    try:
        n = next(sequence_iterator)
        print(str(n) + str(n + 1))
    except StopIteration:
        break"	"sequence_iterator = iter(range(1, 100))
while True:
    try:
        n = next(sequence_iterator)
        print(str(n) + str(n + 1))
    except StopIteration:
        break"	"sequence_iterator = iter(range(1, 100))
while True:
    try:
        n = next(sequence_iterator)
        print(str(n) + str(n + 1))
    except StopIteration:
        break"
A001974	Numbers that are the sum of 3 distinct squares, i.e., numbers of the form x^2 + y^2 + z^2 with 0 <= x < y < z.	5,10,13,14,17,20,21,25,26,29,30,34,35,37,38,40,41,42,45,46,49,50,52,53,54,56,58,59,61,62,65,66,68,69,70,73,74,75,77,78,80,81,82,83,84,85,86,89,90,91,93,94,97,98,100,101,104,105,106,107,109,110,113	"
from itertools import combinations
def aupto(lim):
  s = filter(lambda x: x <= lim, (i*i for i in range(int(lim**.5)+2)))
  s3 = set(filter(lambda x: x<=lim, (sum(c) for c in combinations(s, 3))))
  return sorted(s3)
print(aupto(113)) 
"	"from itertools import combinations

def aupto(lim):
    s = [list_element for list_element in (i * i for i in range(int(lim ** 0.5) + 2)) if (lambda x: x <= lim)(list_element)]
    s3 = set([list_element for list_element in (sum(c) for c in combinations(s, 3)) if (lambda x: x <= lim)(list_element)])
    return sorted(s3)
print(aupto(113))"	"from itertools import combinations

def aupto(lim):
    s = [list_element for list_element in (i * i for i in range(int(lim ** 0.5) + 2)) if (lambda x: x <= lim)(list_element)]
    s3 = set([list_element for list_element in (sum(c) for c in combinations(s, 3)) if (lambda x: x <= lim)(list_element)])
    return sorted(s3)
print(aupto(113))"	"from itertools import combinations

def aupto(lim):
    s = [list_element for list_element in (i * i for i in range(int(lim ** 0.5) + 2)) if (lambda x: x <= lim)(list_element)]
    s3 = set([list_element for list_element in (sum(c) for c in combinations(s, 3)) if (lambda x: x <= lim)(list_element)])
    return sorted(s3)
print(aupto(113))"	"from itertools import combinations

def aupto(lim):
    s = {*()}
    for list_element in (i * i for i in range(int(lim ** 0.5) + 2)):
        if (lambda x: x <= lim)(list_element):s.append(list_element)
    s3 = set([list_element for list_element in (sum(c) for c in combinations(s, 3)) if (lambda x: x <= lim)(list_element)])
    return sorted(s3)
print(aupto(113))"	"from itertools import combinations

def aupto(lim):
    s = {*()}
    for list_element in (i * i for i in range(int(lim ** 0.5) + 2)):
        if (lambda x: x <= lim)(list_element):s.append(list_element)
    s3 = set(list((list_element for list_element in (sum(c) for c in combinations(s, 3)) if (lambda x: x <= lim)(list_element))))
    return sorted(s3)
print(aupto(113))"
A002113	Palindromes in base 10.	0,1,2,3,4,5,6,7,8,9,11,22,33,44,55,66,77,88,99,101,111,121,131,141,151,161,171,181,191,202,212,222,232,242,252,262,272,282,292,303,313,323,333,343,353,363,373,383,393,404,414,424,434,444,454,464,474,484,494,505,515	"
def A002113_list(nMax):
  mlist=[]
  for n in range(nMax+1):
     mstr=str(n)
     if mstr==mstr[::-1]:
        mlist.append(n)
  return(mlist)
"	"def A002113_list(nMax):
    mlist = []
    for n in range(nMax + 1):
        mstr = str(n)
        if mstr == mstr[::-1]:
            mlist.append(n)
    return mlist"	"def A002113_list(nMax):
    mlist = []
    sequence_iterator = iter(range(nMax + 1))
    while True:
        try:
            n = next(sequence_iterator)
            mstr = str(n)
            if mstr == mstr[::-1]:
                mlist.append(n)
        except StopIteration:
            break
    return mlist"	"def A002113_list(nMax):
    mlist = []
    sequence_iterator = iter(range(nMax + 1))
    while True:
        try:
            n = next(sequence_iterator)
            mstr = str(n)
            if mstr == mstr[::-1]:
                mlist.append(n)
        except StopIteration:
            break
    return mlist"	"def A002113_list(nMax):
    mlist = []
    sequence_iterator = iter(range(nMax + 1))
    while True:
        try:
            n = next(sequence_iterator)
            mstr = str(n)
            if mstr == mstr[::-1]:
                mlist.append(n)
        except StopIteration:
            break
    return mlist"	"def A002113_list(nMax):
    mlist = []
    sequence_iterator = iter(range(nMax + 1))
    while True:
        try:
            n = next(sequence_iterator)
            mstr = str(n)
            if mstr == mstr[::-1]:
                mlist.append(n)
        except StopIteration:
            break
    return mlist"
A002113	Palindromes in base 10.	0,1,2,3,4,5,6,7,8,9,11,22,33,44,55,66,77,88,99,101,111,121,131,141,151,161,171,181,191,202,212,222,232,242,252,262,272,282,292,303,313,323,333,343,353,363,373,383,393,404,414,424,434,444,454,464,474,484,494,505,515	"
from itertools import chain
A002113 = sorted(chain(map(lambda x:int(str(x)+str(x)[::-1]),range(1,10**3)),map(lambda x:int(str(x)+str(x)[-2::-1]), range(10**3)))) 
"	"from itertools import chain
A002113 = sorted(chain([(lambda x: int(str(x) + str(x)[::-1]))(list_element) for list_element in range(1, 10 ** 3)], [(lambda x: int(str(x) + str(x)[-2::-1]))(list_element) for list_element in range(10 ** 3)]))"	"from itertools import chain
A002113 = sorted(chain([(lambda x: int(str(x) + str(x)[::-1]))(list_element) for list_element in range(1, 10 ** 3)], [(lambda x: int(str(x) + str(x)[-2::-1]))(list_element) for list_element in range(10 ** 3)]))"	"from itertools import chain
A002113 = sorted(chain([(lambda x: int(str(x) + str(x)[::-1]))(list_element) for list_element in range(1, 10 ** 3)], [(lambda x: int(str(x) + str(x)[-2::-1]))(list_element) for list_element in range(10 ** 3)]))"	"from itertools import chain
A002113 = sorted(chain([(lambda x: int(str(x) + str(x)[::-1]))(list_element) for list_element in range(1, 10 ** 3)], [(lambda x: int(str(x) + str(x)[-2::-1]))(list_element) for list_element in range(10 ** 3)]))"	"from itertools import chain
A002113 = sorted(chain([(lambda x: int(str(x) + str(x)[::-1]))(list_element) for list_element in range(1, 10 ** 3)], [(lambda x: int(str(x) + str(x)[-2::-1]))(list_element) for list_element in range(10 ** 3)]))"
